qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;vgKfz(t)(1);Statusflag;vgKfz(t)(2);Statusflag;vgKfz(t)(3);Statusflag;b(t)(1);Statusflag;b(t)(2);Statusflag;b(t)(3);Statusflag;aLkw(1);Statusflag;aLkw(2);Statusflag;aLkw(3);Statusflag;kKfz(1);Statusflag;kKfz(2);Statusflag;kKfz(3);Statusflag;kLkw(1);Statusflag;kLkw(2);Statusflag;kLkw(3);Statusflag;kPkw(1);Statusflag;kPkw(2);Statusflag;kPkw(3);Statusflag;qB(1);Statusflag;qB(2);Statusflag;qB(3);Statusflag;kB(1);Statusflag;kB(2);Statusflag;kB(3);Statusflag;QKfz;Statusflag;QLkw;Statusflag;QPkw;Statusflag;VKfz;Statusflag;VLkw;Statusflag;VPkw;Statusflag;VgKfz;Statusflag;B;Statusflag;Bmax;Statusflag;SKfz;Statusflag;Alkw;Statusflag;KKfz;Statusflag;KLkw;Statusflag;KPkw;Statusflag;QB;Statusflag;KB;Statusflag;VDelta;Statusflag
296940;1 Intp ;63300;0,9409 Intp ;296940;1;271200;1 Intp nErf ;60180;0,9409 Intp nErf ;271200;1 nErf ;25740;1 Intp ;3120;0,97 Intp ;25740;1;87;1 Intp nErf ;64;1 nErf ;87;1 nErf ;95;1 Intp ;64;1;95;1;6;1 Intp ;89;0,97 Intp ;6;1;-2;1;176;1;10;1;-2;1;47;1;46;1;9;1 Intp ;5;0,912673 Intp ;9;1;307;1 Intp ;541;0,9409 Intp ;151;1;19;1 Intp ;35;0,9409 Intp ;31;1;97;1 Intp ;137;0,9409 Intp ;139;1;345589;1 Intp ;64860;Intp ;353053;1;79;1 Intp ;307;Intp ;29;1;657180;0,9803 Intp ;54600;0,99 Intp ;602580;0,9803 Intp ;85;0,96098809 Intp ;11;0,970497 Intp ;92;0,96098809 Intp ;21;0,96098809 Intp ;91;1;47;1;25;0,4904372636 Intp ;8;0,970497 Intp ;491;0,9420566246 Intp ;89;0,96079203 Intp ;251;0,9420566246 Intp ;827532;0,9681925598 Intp ;449;0,9304215188 Intp ;23;1 Intp 
60420;1;60420;1 Intp ;307380;1;55080;0,97 Intp nErf ;-3;0 Fehl Impl wMaL nErm nErf ;286500;1 nErf ;5340;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;20880;1;157;0,97 Intp nErf ;-3;0 Fehl Impl nErm nErf ;199;0,97 Intp nErf ;227;1;227;1 Intp ;197;0,97 Intp ;61;1;61;1 Intp ;56;1;131;0,97 Intp ;-2;1;92;1;20;1;-2;1;31;1;9;0,97 Intp ;-3;0 Fehl nErm ;7;1;307;0,97 Intp ;-3;0 Fehl nErm ;151;0,97 Intp ;19;0,97 Intp ;-3;0 Fehl nErm ;31;1;97;0,97 Intp ;-3;0 Fehl nErm ;139;0,97 Intp ;74624;0,97 Intp ;-3;0 Fehl nErm ;374614;0,9925 Intp ;79;0,9409 Intp ;-3;0 Fehl nErm ;29;0,962725 Intp ;1085400;1 Intp ;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;33;0,99 Intp ;140;1;31;1;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 Fehl nErm 
-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;323160;0,97 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;299820;0,97 Intp nErf ;-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;23340;0,97 Intp ;22;1 Intp nErf ;-3;0 Fehl Impl nErm nErf ;22;1 nErf ;19;1 Intp ;-3;0 Fehl Impl nErm ;19;1;76;1 Intp ;-3;0 Fehl Impl nErm ;76;1;-2;1;-2;1;97;0,97 Intp ;-2;1;-2;1;25;1;-3;0 Fehl nErm ;-3;0 Fehl nErm ;7;0,9409 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;151;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;31;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;139;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;332496;Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;29;Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;161;1;25;1;0;0 nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 Fehl nErm 
-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;326460;0,97 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;299820;0,97 Intp nErf ;-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;26640;0,97 Intp ;63;1 Intp nErf ;-3;0 Fehl Impl nErm nErf ;63;1 nErf ;62;1 Intp ;-3;0 Fehl Impl nErm ;62;1;79;1 Intp ;-3;0 Fehl Impl nErm ;79;1;-2;1;-2;1;29;1;-2;1;-2;1;24;1;-3;0 Fehl nErm ;-3;0 Fehl nErm ;8;0,9409 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;151;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;31;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;139;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;337116;Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;29;Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;181;1;24;1;0;0 nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 Fehl nErm 
-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;315780;0,97 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;299820;0,97 Intp nErf ;-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;15960;0,97 Intp ;73;1 Intp nErf ;-3;0 Fehl Impl nErm nErf ;73;1 nErf ;75;1 Intp ;-3;0 Fehl Impl nErm ;75;1;8;1 Intp ;-3;0 Fehl Impl nErm ;8;1;-2;1;-2;1;88;1;-2;1;-2;1;46;1;-3;0 Fehl nErm ;-3;0 Fehl nErm ;5;0,9409 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;151;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;31;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;139;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;343550;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;29;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;223;1;46;1;0;0 nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 Fehl nErm 
120540;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;183900;1;120180;0,97 Intp nErf ;-3;0 Fehl Impl wMaL nErm nErf ;183120;1 nErf ;360;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;780;1;20;1 nErf ;20;1 Intp nErf ;8;1 nErf ;20;1;20;1 Intp ;8;1;66;1;66;1 Intp ;94;1;73;1;-2;1;48;1;8;1;-2;1;14;1;0;0,9409 Intp ;-3;0 Fehl nErm ;0;1;307;0,97 Intp ;-3;0 Fehl nErm ;151;1;5;0,97 Intp ;-3;0 Fehl nErm ;8;1;97;0,97 Intp ;-3;0 Fehl nErm ;139;1;120900;Intp ;-3;0 Fehl nErm ;184212;;79;Intp ;-3;0 Fehl nErm ;29;;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;243;1;14;1;0;0 nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;5;1 Intp 
-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;321240;0,97 Intp ;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;299820;0,97 Intp nErf ;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;21420;0,97 Intp ;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl nErm nErf ;199;0,97 Intp nErf ;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;197;0,97 Intp ;17;1 Intp ;-3;0 Fehl Impl nErm ;17;1;-3;0 Fehl Impl nErm ;-2;1;97;0,97 Intp ;-3;0 Fehl Impl nErm ;-2;1;52;1;-3;0 Fehl nErm ;-3;0 Fehl nErm ;7;0,9409 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;151;0,9409 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;31;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;139;0,9409 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;406920;0,962725 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;29;0,93384325 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 Fehl nErm 
122940;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;79320;1;120180;0,97 Intp nErf ;-3;0 Fehl Impl wMaL nErm nErf ;70740;1 nErf ;2760;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;8580;1;85;1 nErf ;85;1 Intp nErf ;16;1 nErf ;86;1;86;1 Intp ;4;1;35;1;35;1 Intp ;113;1;131;0,97 Intp ;-2;1;23;1;12;1;-2;1;6;1;2;0,9409 Intp ;-3;0 Fehl nErm ;11;1;307;0,97 Intp ;-3;0 Fehl nErm ;151;1;19;0,97 Intp ;-3;0 Fehl nErm ;31;1;97;0,97 Intp ;-3;0 Fehl nErm ;139;1;127108;0,97 Intp ;-3;0 Fehl nErm ;82752;;79;0,97 Intp ;-3;0 Fehl nErm ;29;;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;13;1;12;1;0;0 nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;28;1 Intp 
-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;321840;0,97 Intp ;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;299820;0,97 Intp nErf ;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;22020;0,97 Intp ;62;1 Intp nErf ;-3;0 Fehl Impl nErm nErf ;62;1 nErf ;64;1 Intp ;-3;0 Fehl Impl nErm ;64;1;30;1 Intp ;-3;0 Fehl Impl nErm ;30;1;-3;0 Fehl Impl nErm ;-2;1;97;0,97 Intp ;-3;0 Fehl Impl nErm ;-2;1;59;1;-3;0 Fehl nErm ;-3;0 Fehl nErm ;7;0,9409 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;151;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;31;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;139;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;345622;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;29;0,97 Intp ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-1;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 Fehl nErm 
222780;1 Intp ;-3;0 Fehl Impl wMaL nErm ;222780;1;217740;1 Intp nErf ;-3;0 Fehl Impl wMaL nErm nErf ;217740;1 nErf ;5040;1 Intp ;-3;0 Fehl Impl wMaL nErm ;5040;1;7;1 Intp nErf ;-3;0 Fehl Impl nErm nErf ;7;1 nErf ;5;1 Intp ;-3;0 Fehl Impl nErm ;5;1;105;1 Intp ;-3;0 Fehl Impl nErm ;105;1;-3;0 Fehl Impl nErm ;-2;1;41;1;-3;0 Fehl Impl nErm ;-2;1;13;1;2;1 Intp ;-3;0 Fehl nErm ;2;1;307;1 Intp ;-3;0 Fehl nErm ;151;1;19;1 Intp ;-3;0 Fehl nErm ;31;1;97;1 Intp ;-3;0 Fehl nErm ;139;1;227820;Intp ;-3;0 Fehl nErm ;224796;;79;Intp ;-3;0 Fehl nErm ;29;;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-3;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl Intp nErm ;-1;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;-3;0 Fehl nErm ;0;0 Fehl nErm 
