VKDiffKfz;Verkehrszustand;qPFlink;qGFlink;qPNormal;qGNorml;qPTräge;qGTräge;vPFlink;vGFlink;vPNormal;vGNorml;vPTräge;vGTräge;kBGFlink;kBGNormal;kBGTräge;vst, MARZ;vst, NRW;vst,NRW, RDS;KKfzStoerfall;KKfzStoerfallG;VKfzStoerfallG;QKfzStoerfallG;VST, lokale Störfallerkennung
0,181430348;Freier Verkehr;517883;242213;311130;173295;173295;69919;87;87;87;87;87;87;2784;1992;804;5;1;7;307;723,3999959;73,18581452;52942,61792;2
-1;Freier Verkehr;73531;108142;153409;133827;144635;70860;192;143;150;115;122;108;756;1164;656;7;7;5;307;556,839995;86,49730309;48165,15783;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;0;46;49;78;76;82;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;63;60;50;72;68;76;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;82;69;60;72;68;75;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;180850;84930;108910;60950;60951;24981;0;30;19;51;42;59;2850;1184;425;7;7;7;5,821312427;2,410656214;130,8073402;315,3315274;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;190162;89276;114497;64054;64055;26222;84;85;85;86;86;86;1045;743;304;5;7;7;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;50;67;64;77;74;79;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;341230;159774;205138;114410;114411;46365;0;19;8;49;39;57;8438;2349;807;7;1;1;3,149748631;1,074874315;130,914096;140,7161993;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;111;93;80;80;71;68;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;20;43;36;60;52;57;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;567558;265394;340936;189854;189854;76542;136;89;89;84;79;67;2996;2256;1139;5;1;1;307;153;118,7722278;18172,15085;2
-0,127380736;Freier Verkehr;-1;-1;-1;-1;-1;-1;76;75;75;79;77;68;-1;-1;-1;1;1;1;307;230;112,6183816;25902,22777;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;0;32;25;56;52;54;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
0,034933202;Freier Verkehr;401828;188054;241497;134610;134610;54445;103;89;80;79;77;64;2119;1696;855;5;1;7;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;216886;169227;225661;149565;165598;76460;97;85;84;82;83;68;1992;1831;1128;7;1;1;307;230;112,6183816;25902,22777;2
0,477059291;Freier Verkehr;302822;227123;287357;200750;226595;111555;104;93;96;89;93;73;2450;2260;1520;7;1;7;307;268,5;109,5414585;29411,88162;2
-1;Freier Verkehr;0;60593;80442;128034;157289;83776;95;92;96;90;96;77;658;1416;1086;7;1;1;118;208,2999991;114,3526474;23819,65636;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;126;107;115;102;109;85;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;429880;201144;258328;143960;143961;58185;0;25;18;56;48;64;7919;2562;911;7;1;1;2,703425027;0,851712513;130,9319311;111,5163641;2
-1;Freier Verkehr;399457;272342;355586;223408;240563;107119;192;159;155;124;117;90;1716;1800;1197;7;1;1;307;153,9258563;118,6982333;18270,72719;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;410080;191904;246448;137360;137361;55545;44;64;61;75;72;78;3008;1822;709;5;1;1;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;34368;72977;107200;99714;114847;51855;24;46;37;62;55;67;1602;1618;773;7;1;1;307;230;112,6183816;25902,22777;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-0,056237297;Freier Verkehr;-1;-1;-1;-1;-1;-1;136;110;117;104;104;94;-1;-1;-1;1;1;1;50;24,5;129,041958;3161,527972;2
-0,056237297;Freier Verkehr;-1;-1;-1;-1;-1;-1;130;117;126;112;114;99;-1;-1;-1;1;1;1;50;37,25;128,022977;4768,855894;2
-1;Freier Verkehr;150144;70601;90487;50716;50716;20887;172;142;157;132;136;110;499;385;191;4;1;1;307;172,125;117,2437562;20180,58154;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;342220;160236;205732;114740;114741;46497;86;86;86;87;86;87;1859;1325;536;5;1;1;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;433040;270560;352126;216291;229939;100766;171;126;137;115;115;98;2148;1884;1029;7;1;1;307;230;112,6183816;25902,22777;2
-1;Freier Verkehr;120061;164297;213505;184867;209670;108159;45;76;79;94;94;87;2173;1965;1236;7;1;1;307;268,5;109,5414585;29411,88162;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-0,394523659;Freier Verkehr;74380;35244;45028;25460;25461;10785;10;46;41;67;61;72;763;382;150;5;7;7;15,74026469;7,370132346;130,4109784;961,1461705;2
0,201435937;Freier Verkehr;178053;98236;126995;75346;78281;33674;205;124;133;112;107;89;794;674;379;7;7;7;307;157,1850662;118,4377569;18616,64666;2
0,037319014;Freier Verkehr;47256;58276;76817;64522;72205;36597;148;127;140;120;122;97;457;536;378;7;7;7;298;227,5925331;112,8107866;25674,89267;2
-1;Freier Verkehr;198788;124877;151907;108971;119934;59961;23;69;70;94;95;84;1818;1161;714;7;1;1;307;267,2962665;109,637661;29305,73746;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;107;91;85;97;100;87;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;244;161;175;144;148;108;-1;-1;-1;1;1;1;307;153;118,7722278;18172,15085;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;215;178;200;165;175;124;-1;-1;-1;1;1;1;184;168,5;117,5334665;19804,38911;2
-1;Freier Verkehr;-1;-1;-1;-1;-1;-1;144;154;167;158;172;128;-1;-1;-1;1;1;1;-1;-1;-1;-1;7
0,021990556;Freier Verkehr;51749;24683;31450;17917;17917;7767;133;144;148;152;166;131;171;118;59;4;7;7;172;85,5;124,1668332;10616,26424;2
0,700244589;Freier Verkehr;-1;-1;-1;-1;-1;-1;192;168;173;165;179;141;-1;-1;-1;1;1;1;218;151,75;118,8721279;18038,8454;2
-1;Freier Verkehr;4726;2739;3236;2242;2243;1498;159;159;162;162;175;144;17;14;10;2;2;1;19;98,64999921;123,1158842;12145,38188;2
-0,042439604;Freier Verkehr;373788;175710;225676;126041;126190;51166;57;105;98;133;143;128;1679;945;400;4;1;7;307;202,8249996;114,7902098;23282,32426;2
-1;Freier Verkehr;81463;93752;128358;104930;114731;55585;174;141;134;145;153;134;664;723;416;4;7;7;307;254,9124998;110,6273726;28200,30011;2
-1;Freier Verkehr;146444;119489;142017;117724;134454;70572;29;76;63;111;112;112;1567;1059;632;4;1;1;307;280,9562499;108,5459541;30496,66419;2
-1;Freier Verkehr;131677;122661;137966;120872;142014;81262;0;34;8;76;68;85;3645;1593;955;5;7;7;5,746936937;170,8725231;117,3438543;20050,84045;2
-1;Freier Verkehr;126926;123810;134215;122587;145308;89870;86;76;44;81;73;85;1639;1515;1054;7;7;7;307;238,9362615;111,9041949;26737,96998;2
-1;Freier Verkehr;121073;121852;127299;122097;144423;96168;205;133;127;119;113;100;919;1026;966;7;7;5;307;272,9681308;109,1843652;29803,85207;2
-1;Freier Verkehr;355709;231057;265405;199979;220792;132507;0;32;22;74;64;72;7195;2696;1845;7;1;1;2,542947742;164,7980559;117,8293262;19418,04389;2
0,051797638;Freier Verkehr;14316;95518;108181;144640;167698;111245;156;131;117;115;108;89;728;1257;1255;7;7;7;307;235,899028;112,1469308;26455,35197;2
